File,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
https://www.govinfo.gov/content/pkg/CHRG-107hhrg79790/html/CHRG-107hhrg79790.htm,2002-03-06,37276,56,1,1,4,2,9,1,0,1,1,0,1
https://www.govinfo.gov/content/pkg/CHRG-107shrg78471/html/CHRG-107shrg78471.htm,2002-03-08,270145,69,13,46,15,26,46,7,30,11,6,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg79612/html/CHRG-107hhrg79612.htm,2002-03-14,26956,1,0,1,0,3,1,0,1,0,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg81138/html/CHRG-107shrg81138.htm,2002-05-15,61391,0,1,8,0,0,0,2,19,2,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg80677/html/CHRG-107hhrg80677.htm,2002-06-06,33315,35,10,7,1,0,21,14,6,2,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107hhrg86611/html/CHRG-107hhrg86611.htm,2002-06-17,27569,17,3,2,0,5,10,3,2,0,4,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg83978/html/CHRG-107shrg83978.htm,2002-07-18,27590,1,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-107shrg85320/html/CHRG-107shrg85320.htm,2002-12-03,29619,7,12,0,12,2,11,12,2,13,0,0,0
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg84818/html/CHRG-108hhrg84818.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg85638/html/CHRG-108hhrg85638.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg88568/html/CHRG-108hhrg88568.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg86806/html/CHRG-108hhrg86806.htm",2003-01-01,2016,0,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg86300/html/CHRG-108shrg86300.htm,2003-02-25,34443,23,6,8,5,0,20,5,16,3,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg86709/html/CHRG-108shrg86709.htm,2003-02-27,52790,19,15,15,2,3,10,14,12,6,0,0,0
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg86052/html/CHRG-108hhrg86052.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg85920/html/CHRG-108shrg85920.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg91590/html/CHRG-108hhrg91590.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg2910458/html/CHRG-108shrg2910458.htm",2003-03-05,699712,350,67,136,35,36,142,61,135,18,13,0,3
"https://www.govinfo.gov/content/pkg/CHRG-108jhrg88568/html/CHRG-108jhrg88568.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg86993/html/CHRG-108shrg86993.htm",2003-03-06,73797,102,5,6,15,4,82,4,10,15,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg87330/html/CHRG-108shrg87330.htm,2003-03-11,32738,0,1,2,2,3,2,2,14,2,1,0,0
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg86197/html/CHRG-108hhrg86197.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg85583/html/CHRG-108hhrg85583.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg2910452/html/CHRG-108shrg2910452.htm",2003-03-12,102317,24,5,8,7,3,18,5,18,4,1,0,2
"https://www.govinfo.gov/content/pkg/CHRG-108shrg86005/html/CHRG-108shrg86005.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg85771/html/CHRG-108hhrg85771.htm",2003-03-19,110206,48,11,16,5,5,19,10,13,6,0,0,2
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg86608/html/CHRG-108hhrg86608.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg92741/html/CHRG-108hhrg92741.htm",2003-03-20,39261,4,0,4,0,1,5,0,1,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg90658/html/CHRG-108hhrg90658.htm,2003-03-26,14277,0,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg86329/html/CHRG-108hhrg86329.htm,2003-04-05,44432,3,0,1,2,0,0,0,1,1,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910455/html/CHRG-108shrg2910455.htm,2003-04-07,34707,71,0,1,0,0,5,0,0,1,0,0,1
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg87231/html/CHRG-108hhrg87231.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg88999/html/CHRG-108shrg88999.htm",2003-04-08,71119,5,2,22,5,2,3,4,12,12,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910453/html/CHRG-108shrg2910453.htm,2003-04-10,33853,2,2,10,1,10,0,0,1,1,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg89219/html/CHRG-108shrg89219.htm,2003-04-30,35534,3,0,0,3,3,3,0,0,0,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg87487/html/CHRG-108hhrg87487.htm,2003-05-20,55941,44,17,10,7,0,38,9,14,11,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg87639/html/CHRG-108shrg87639.htm,2003-05-28,27700,0,0,2,0,0,0,0,0,0,0,0,0
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg87904/html/CHRG-108hhrg87904.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg89162/html/CHRG-108shrg89162.htm",2003-06-24,82613,21,1,5,5,2,8,1,1,2,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg88164/html/CHRG-108hhrg88164.htm,2003-07-10,37987,6,0,2,0,2,4,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg89514/html/CHRG-108hhrg89514.htm,2003-09-25,51325,18,0,0,0,5,0,0,0,0,0,0,1
https://www.govinfo.gov/content/pkg/CHRG-108shrg91317/html/CHRG-108shrg91317.htm,2003-10-15,34842,22,8,9,0,1,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg91959/html/CHRG-108shrg91959.htm,2003-10-21,43418,0,9,24,12,0,1,6,15,11,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg90178/html/CHRG-108hhrg90178.htm,2003-10-30,20326,0,0,0,0,0,0,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg92180/html/CHRG-108shrg92180.htm,2003-11-21,73012,5,0,1,0,0,4,0,1,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg93641/html/CHRG-108shrg93641.htm,2004-02-10,46931,32,4,3,3,0,20,2,9,2,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910468/html/CHRG-108shrg2910468.htm,2004-03-03,35046,13,0,4,5,2,6,0,6,5,0,0,2
https://www.govinfo.gov/content/pkg/CHRG-108shrg94641/html/CHRG-108shrg94641.htm,2004-03-04,52851,8,2,5,3,1,2,1,0,2,1,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910476/html/CHRG-108shrg2910476.htm,2004-03-23,41670,1,2,9,0,19,0,0,5,0,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg92615/html/CHRG-108hhrg92615.htm,2004-03-24,46040,46,8,12,1,4,31,8,29,4,7,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg93300/html/CHRG-108hhrg93300.htm,2004-03-25,52511,6,0,2,1,1,4,0,1,0,0,0,1
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910451/html/CHRG-108shrg2910451.htm,2004-03-28,128560,31,12,30,10,6,14,6,11,1,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg95082/html/CHRG-108shrg95082.htm,2004-03-30,53441,7,0,1,0,0,5,0,1,1,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg3910495/html/CHRG-108shrg3910495.htm,2004-03-31,43907,14,0,2,0,0,7,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg93304/html/CHRG-108hhrg93304.htm,2004-04-01,51668,45,8,5,2,1,26,6,14,2,3,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg3910497/html/CHRG-108shrg3910497.htm,2004-04-20,45451,7,0,5,3,1,1,0,5,0,2,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg93560/html/CHRG-108shrg93560.htm,2004-05-06,22970,9,2,1,3,1,6,2,1,4,0,0,0
"https://www.govinfo.gov/content/pkg/CHRG-108hhrg93758/html/CHRG-108hhrg93758.htm,https://www.govinfo.gov/content/pkg/CHRG-108hhrg93979/html/CHRG-108hhrg93979.htm",2004-05-19,98920,47,13,21,33,2,45,18,85,25,4,0,0
https://www.govinfo.gov/content/pkg/CHRG-108hhrg93759/html/CHRG-108hhrg93759.htm,2004-05-20,21083,2,0,0,0,0,2,0,0,0,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg97231/html/CHRG-108shrg97231.htm,2004-07-15,29748,3,2,9,9,0,0,2,7,4,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-108shrg2910484/html/CHRG-108shrg2910484.htm,2004-12-31,134229,34,10,22,12,5,9,4,8,4,0,0,0
https://www.govinfo.gov/content/pkg/CHRG-109shrg20004/html/CHRG-109shrg20004.htm,2005-02-03,63465,29,10,13,19,3,24,10,17,18,2,0,0
"https://www.govinfo.gov/content/pkg/CHRG-109hhrg98561/html/CHRG-109hhrg98561.htm,https://www.govinfo.gov/content/pkg/CHRG-109hhrg99900/html/CHRG-109hhrg99900.htm",2005-02-09,104723,53,15,30,1,9,30,16,25,3,6,0,0
https://www.govinfo.gov/content/pkg/CHRG-109hhrg99906/html/CHRG-109hhrg99906.htm,2005-02-10,242627,232,41,80,11,11,135,38,152,13,7,0,1
"https://www.govinfo.gov/content/pkg/CHRG-109shrg21194/html/CHRG-109shrg21194.htm,https://www.govinfo.gov/content/pkg/CHRG-108shrg92143/html/CHRG-108shrg92143.htm",2005-03-03,358342,189,20,53,26,28,79,15,36,12,9,0,2
https://www.govinfo.gov/content/pkg/CHRG-109hhrg99903/html/CHRG-109hhrg99903.htm,2005-03-09,45558,0,0,5,7,3,0,0,1,0,0,0,0
