Debates,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
High Energy Caffeine Drinks ,2012-07-11,5472,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Energy Market ,Renewable Energy 2012-07-12 (1).txt,Renewable Energy ",2012-07-12,13017,3,2,0,4,1,1,2,0,3,0,0,0
Energy Supply ,2012-09-06,12028,1,1,7,0,1,0,4,7,0,0,1,0
Energy Resources (Lancashire) ,2012-09-18,4530,0,0,0,0,0,0,0,0,1,0,0,0
Energy Tariffs ,2012-10-18,4663,0,1,0,0,0,0,2,0,0,0,0,0
Energy Market Reform ,2012-10-24,30611,3,1,0,1,5,2,4,0,1,1,0,0
"Clean Energy Infrastructure ,Energy and Climate Change ,Energy Bills ,Energy Demand ,Energy Efficiency ,Energy Market (New Entrants) ,Renewable Energy Technology Manufacturing (West Midlands) ",2012-11-01,14701,13,1,0,1,0,13,2,0,1,0,0,0
Energy Generation Sector ,2012-11-28,710,0,0,0,0,0,0,0,0,0,0,1,0
Energy Policy ,2012-11-29,8379,0,0,0,0,0,0,0,0,1,0,0,0
Low-energy Lighting ,2012-12-06,427,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Infrastructure Investment ,Geothermal Energy ,Household Energy Bills ",2012-12-13,12826,4,4,2,2,0,2,4,2,0,0,0,0
Energy Bill ,2012-12-19,34129,14,15,3,11,2,15,13,3,11,1,0,0
Energy and Climate Change  Committee Report ,2012-12-20,2502,1,2,1,0,0,1,2,0,0,0,0,0
Fuel Poverty and Energy Efficiency ,2013-01-16,26358,3,15,1,4,1,1,8,0,4,0,0,0
Energy Efficiency  (Houses in Multiple Occupation) ,2013-01-23,890,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Bills 2013-01-31 (1).txt,Energy Bills ,Energy Efficiency ,Green Energy Technologies ",2013-01-31,12128,0,2,0,0,0,0,2,0,2,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Energy Market Competition ",2013-03-14,12697,5,6,0,5,0,4,3,1,4,0,1,0
Energy Efficiency_ New Homes ,2013-03-18,373,0,0,0,0,0,0,0,0,0,0,0,0
"59. Value added tax (energy-saving materials) ,Energy Intensive Industries ",2013-03-25,4267,0,1,0,1,0,0,1,0,0,0,0,0
Energy Infrastructure (UK Supply Chain) ,2013-03-26,4010,0,1,1,2,0,0,1,1,1,0,0,0
Energy Generation ,2013-04-17,12849,0,1,0,0,0,1,1,0,0,0,3,0
Energy Bill ,2013-06-03,33212,1,5,5,1,0,0,1,5,0,1,0,0
Energy Bill ,2013-06-04,52061,8,10,5,8,0,7,9,4,1,0,3,2
Renewable Energy ,2013-06-05,374,1,0,0,0,0,1,0,0,0,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Home Energy Efficiency (Milton Keynes) ",2013-06-06,11435,2,3,0,0,0,4,4,0,0,0,1,0
Energy Policy ,2013-07-03,515,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Demand ,Energy Infrastructure ,Renewable Energy ",2013-07-11,12439,1,2,0,2,0,3,2,0,4,0,1,0
UK Energy Infrastructure (Wales) ,2013-07-17,4034,0,0,0,1,0,0,0,0,0,0,0,0
Energy Prices and Profits ,2013-09-04,21033,2,2,1,0,1,4,5,0,0,1,0,0
Energy Policy (Winter Preparations) ,2013-10-09,4504,0,2,0,0,0,0,1,0,0,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Energy Support (Northumberland) ,European Energy Markets ,Renewable Energy ,UK Energy Market ,Wind Energy ",2013-10-17,15539,2,5,0,3,0,3,3,0,0,1,0,0
UK Nuclear Energy Programme ,2013-10-21,12860,12,0,2,1,0,4,0,1,1,1,0,1
Annual Energy Statement ,2013-10-31,9855,3,4,0,1,1,3,6,0,1,1,0,0
"Energy Prices ,Renewable Energy (Peterborough) ",2013-11-05,4663,0,2,0,2,0,0,0,0,0,0,0,0
"Energy Price Freeze ,Energy Prices ",2013-11-06,49186,8,7,0,1,3,5,11,1,0,3,0,0
"Energy Prices, Profits and Poverty ",2013-11-07,12054,0,1,0,0,0,0,2,0,0,0,0,0
Energy Bill (Carry-Over Extension) ,2013-11-18,2407,0,0,0,1,0,0,1,0,1,0,0,0
Energy Transmission Infrastructure (Carmarthenshire) ,2013-11-19,3809,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Costs ,Energy Infrastructure ",2013-11-20,1407,0,0,0,0,0,0,1,0,0,0,0,0
"Energy and Climate Change ,Energy Costs ,Energy Efficiency ,Energy Security ,Rural Energy Costs ",2013-11-28,13824,6,0,0,0,0,6,3,0,0,0,6,0
Energy Bills ,2013-12-02,9473,3,4,0,2,0,4,3,0,3,0,1,0
"Energy Bill ,Energy Intensive Industries ",2013-12-04,35906,9,2,4,0,1,6,4,2,0,0,3,0
Energy Prices ,2013-12-18,457,0,1,0,0,0,0,1,0,0,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Energy Infrastructure ,Wholesale Energy Market ",2014-01-16,13765,1,2,0,3,2,0,3,0,2,2,0,0
Energy Prices ,2014-01-28,389,0,0,0,0,0,0,0,0,0,0,0,0
Energy Company Charges ,2014-02-04,20204,0,1,0,0,1,0,4,0,0,1,0,0
Household Energy Bills ,2014-02-05,782,0,0,0,0,0,0,0,0,0,0,0,0
"Community Energy ,Energy and Climate Change ,Energy Companies_ Charges ,Energy Company Obligation ,Energy Efficiency ,Energy Market Competition ,Energy Meters ,Energy Prices 2014-02-27 (1).txt,Energy Prices ,Household Energy Bills ,Tidal Energy ",2014-02-27,16282,4,8,0,1,0,4,2,0,3,1,2,1
"Department of Energy and Climate Change ,Government Levies on Energy Bills ",2014-03-03,23326,1,3,0,2,0,0,5,0,1,0,1,1
"Energy Company Obligation ,Energy-intensive Industries ",2014-03-11,14894,0,3,0,3,1,0,3,0,6,0,2,0
Energy Markets (Competition) ,2014-03-26,12444,2,1,1,0,0,2,1,1,0,0,0,0
Energy Markets Competition Assessment ,2014-03-27,6192,0,0,0,0,0,0,0,0,0,0,0,0
Energy Price Freeze ,2014-04-02,28918,3,2,0,1,1,2,7,0,1,1,0,0
"Energy and Climate Change ,Energy Bills (Park Homes) ,Energy Bills ,Energy Efficiency ,Energy Markets (Competition) ,Energy Supply ,Energy-intensive Industries ",2014-04-03,15585,1,0,0,2,0,1,1,0,2,0,0,0
Energy-intensive Industries ,2014-04-10,345,0,0,0,0,0,0,0,0,0,0,0,0
Energy Bills ,2014-05-07,646,0,0,0,0,0,0,0,0,0,0,0,0
Cost of Living_ Energy and Housing ,2014-06-05,58492,6,21,2,10,25,0,5,0,3,0,1,0
Energy Prices ,2014-06-18,23053,1,0,0,1,0,1,1,0,1,0,0,0
"Energy and Climate Change ,Energy Efficiency ,Energy Markets (Competition) ,Energy Security ",2014-06-19,13033,1,3,0,2,0,1,2,0,0,0,0,0
Energy-intensive Industries ,2014-06-26,568,0,0,0,0,0,0,0,0,0,0,0,0
Energy (Independence) ,2014-07-02,291,0,0,0,0,0,0,0,0,0,0,0,0
"Energy Company Licence Revocation ,Renewable Energy Development (Beccles) ",2014-09-03,33391,8,0,0,5,0,4,3,0,4,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Efficiency 2014-09-04 (1).txt,Energy Efficiency ,Energy Security ,Renewable Energy Investment ,Sustainable Energy ",2014-09-04,14953,0,0,0,8,2,0,2,0,8,0,1,0
Energy-intensive Industries ,2014-09-11,20339,6,1,0,8,1,3,2,0,3,0,0,0
Domestic Energy Efficiency ,2014-10-21,4010,0,1,0,0,0,0,0,0,0,0,0,0
Energy Prices ,2014-10-22,309,1,0,0,0,0,1,0,0,0,0,0,0
"Annual Energy Statement ,Energy and Climate Change ,Energy Bills 2014-11-06 (1).txt,Energy Bills ,Energy Generation ,Energy Security ,Framework for Energy and Climate Policies ,Solar Energy (Public Sector) ",2014-11-06,21736,8,5,0,4,0,8,6,0,4,0,1,0
Energy Policy and Living Standards ,2014-12-10,4850,0,0,0,1,0,0,0,0,0,0,0,0
"Clean Energy ,Energy and Climate Change ,Energy Bills (Low Carbon Energy) ,Energy Bills ,Energy Companies Obligation ,Energy Security ,UK Energy Sources (Subsidy) ",2014-12-18,13522,6,1,0,0,0,6,2,0,0,0,1,0
Energy Prices ,2015-01-14,24349,1,0,0,0,0,1,5,0,1,0,1,0
"Community Energy Generation ,Energy and Climate Change ,Energy Bills ,Energy Efficiency ,Household Energy Bills ,Renewable Energy ",2015-02-05,15359,0,2,1,0,0,0,1,1,2,0,0,0
Energy Supply ,2015-02-25,899,0,0,0,0,0,0,0,1,0,0,0,0
Low Carbon Energy Generation ,2015-02-26,15078,2,1,2,0,1,1,3,2,1,0,0,0
"Energy and Climate Change ,Energy Efficiency ,Energy Policy (Regional Devolution) ,Household Energy Bills ,Low-carbon Energy Sources ,Renewable Energy ,Solar Energy ,Wholesale Energy Prices ",2015-03-19,15131,11,2,0,1,0,10,5,0,1,0,1,0
Marine Energy ,2015-03-26,361,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Household Energy Efficiency ,Renewable Energy 2015-06-25 (1).txt,Renewable Energy ,Renewable Energy Jobs (Scotland) ",2015-06-25,14081,9,3,2,3,0,10,1,0,2,0,0,0
"Energy and Climate Change ,Energy Supply Market ,Low-carbon Energy Generation ",2015-09-17,12950,4,7,0,2,0,4,5,0,3,0,0,0
"Department of Energy and Climate Change ,EU Renewable Energy Target ,Fuel Poverty_ Energy Efficiency Schemes ,Renewable Energy_ Subsidies ,Solar Energy_ Schools ,Wholesale Energy Prices ",2015-11-19,14807,16,4,2,5,0,15,12,2,3,0,2,0
Energy Market Design ,2015-11-23,9096,4,1,1,0,0,4,1,2,0,2,0,0
Clean Energy Investment ,2015-11-25,14214,47,3,0,3,0,40,5,0,4,0,0,0
Energy Sector (Research and Development) ,2015-12-15,791,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Tariffs ",2016-01-07,10967,1,2,4,1,0,1,2,2,0,0,0,0
Energy Bill [Lords] ,2016-01-18,50881,28,8,9,19,4,26,11,5,11,2,0,0
"Energy BILL [ Lords ] (First sitting) ,Energy BILL [ Lords ] (Second sitting) ",2016-01-26,17695,0,0,0,0,0,0,0,0,0,0,0,0
Energy BILL [ Lords ] (Third sitting) ,2016-01-28,11396,0,0,0,0,0,0,0,0,0,0,0,0
"Energy BILL [ Lords ] (Fifth sitting) ,Energy BILL [ Lords ] (Fourth sitting) ",2016-02-02,47485,6,1,2,1,2,9,0,0,1,1,0,0
Energy Access_ Africa ,2016-02-03,622,2,0,1,0,0,1,0,1,0,0,0,0
"Energy BILL [ Lords ] (Seventh sitting) ,Energy BILL [ Lords ] (Sixth sitting) ",2016-02-04,25893,2,5,1,0,0,1,1,1,0,0,0,1
Humber Energy Estuary ,2016-02-09,4576,2,1,0,3,0,2,1,0,0,0,0,0
"Energy and Climate Change ,Energy Prices ,Energy-efficient Homes 2016-02-11 (1).txt,Energy-efficient Homes ,Solar Energy ,Solar Energy_ VAT ",2016-02-11,13124,1,2,1,4,0,2,2,2,4,0,0,0
Biomass Energy ,2016-02-24,12156,1,5,3,6,0,0,4,5,3,0,1,0
UK Energy Market ,2016-03-09,8838,0,1,0,1,0,0,2,0,1,0,0,0
Energy-Intensive Industries ,2016-03-10,10728,0,0,0,5,0,1,0,0,2,0,0,0
Energy Bill [Lords] ,2016-03-14,38367,4,13,5,5,5,3,10,4,2,2,0,1
"Energy and Climate Change ,Energy Storage Devices ,Energy-saving Products_ VAT ,Renewable Energy_ Subsidies ,Retail Energy_ Switching Suppliers ,Tidal Lagoon Energy ",2016-03-24,11152,1,4,3,1,0,1,2,2,2,0,0,0
Energy Bill [Lords] ,2016-04-20,8834,1,0,1,0,0,1,1,4,0,0,0,0
Access to Energy_ Africa ,2016-05-04,506,2,0,0,0,0,1,0,0,0,0,0,0
Energy Bill [Lords] ,2016-05-09,4093,0,0,0,0,0,0,0,0,0,0,0,0
"Energy and Climate Change ,Energy Bills ,Energy Tariffs ,New Energy Technologies ",2016-05-12,12537,7,3,8,1,0,4,2,1,1,0,0,0
Draft Energy Efficiency (Private Rented Property) (England and Wales) (Amendment) Regulations 2016 ,2016-06-08,4341,0,0,0,0,1,0,0,0,0,1,0,0
"DEPARTMENT OF ENERGY AND CLIMATE CHANGE ,Energy Spending Priorities_ Investors and Consumers ",2016-07-04,18439,6,1,0,0,0,5,5,0,0,0,1,0
Energy Network Charges ,2016-07-05,10315,2,1,1,0,0,3,3,0,0,0,0,0
EU Referendum_ Energy and Environment ,2016-07-12,26557,26,1,1,8,2,9,2,0,1,1,1,0
"Energy and Climate Change ,Energy Bills ,Energy Infrastructure_ Use of British Steel ,Energy Market Competition ,Energy Tariffs ,Geothermal Energy ,Retail Energy Market_ Switching ",2016-07-14,14182,9,5,2,2,0,8,5,0,1,0,0,0
Atomic Energy and Radioactive Substances ,2016-07-20,32,0,0,0,0,0,0,0,0,0,0,0,0
"Business, Energy and Industrial Strategy ",2016-09-13,10381,0,0,0,2,0,0,0,0,0,0,0,0
Smart Energy System ,2016-10-25,181,0,0,0,0,0,0,0,0,0,0,0,0
National College for Wind Energy ,2016-11-01,8507,0,0,0,1,0,0,1,0,1,0,0,0
