title,Date,word_count,JustClean,JustAfford,JustReliable,JustSustain,JustModern,CleanSent,AffordSent,ReliableSent,SustainSent,ModernSent,GreenJobSent,ScientistSent
"['Energy', 'Energy Initiatives']",2006-09-11,103597,6,9,1,14,9,1,0,0,6,0,1,1
['Energy Initiatives'],2006-09-14,97133,2,0,0,4,6,0,0,0,0,0,0,0
['Energy Initiatives'],2006-10-09,104856,10,4,1,6,8,6,1,0,3,0,0,0
['Energy Initiatives'],2006-10-11,129808,5,3,1,7,19,0,0,0,0,0,0,1
"['Renewable Energy', 'Renewable Energy', 'Energy Initiatives']",2006-10-16,97838,10,6,1,11,7,6,1,0,3,0,0,0
['Renewable Energy'],2006-10-17,88166,2,6,2,1,2,0,0,0,0,0,0,0
"['Nuclear Energy', 'Energy Initiatives']",2006-10-19,104490,16,1,1,8,6,5,0,1,0,0,0,1
['Solar Energy'],2006-10-30,99748,18,2,2,6,6,9,0,0,1,0,0,0
['Renewable Energy'],2006-10-31,121697,22,4,0,6,6,10,2,0,0,0,0,0
['Nuclear Energy'],2006-11-27,98845,6,2,2,5,3,0,1,0,1,0,0,0
['Kingsford Smith: Nuclear Energy'],2006-11-28,108307,3,2,0,2,6,2,1,0,0,1,0,0
['Renewable Energy'],2007-02-06,76352,4,1,3,8,4,4,0,0,0,0,1,0
"['Renewable Energy', 'Renewable Energy']",2007-02-07,127435,21,6,2,16,12,10,0,0,1,0,0,2
['Energy Initiatives'],2007-02-15,100409,12,5,0,6,6,3,1,0,2,0,0,1
"['Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy']",2007-02-27,67384,4,0,3,4,5,4,0,0,1,0,0,0
"['Renewable Energy', 'Nuclear Energy', 'Nuclear Energy', 'Renewable Energy']",2007-02-28,116531,5,1,3,28,6,4,1,0,2,2,0,0
"['Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Renewable Energy', 'Renewable Energy', 'Nuclear Energy']",2007-03-01,99675,15,6,2,7,7,9,1,0,1,2,0,0
['Energy Initiatives'],2007-03-22,116439,2,5,3,7,6,1,0,1,1,2,0,1
"['Renewable Energy', 'Renewable Energy', 'Renewable Energy', 'Energy']",2007-03-28,102123,27,2,6,27,12,15,0,3,2,4,0,1
['Renewable Energy'],2007-03-29,72867,12,2,1,24,4,2,0,0,0,1,0,0
['Nuclear Energy'],2007-05-09,140571,7,5,3,8,6,4,0,0,0,0,0,1
"['Nuclear Energy', 'Nuclear Energy', 'Nuclear Energy', 'Parliament House: Energy Use', 'Parliament House: Energy Use']",2007-05-30,143235,15,13,2,10,25,9,1,0,0,1,1,1
['Parliament House: Energy Use'],2007-06-12,112288,3,10,0,7,6,0,0,0,1,0,2,0
['Nuclear Energy'],2007-06-13,148477,10,2,0,27,10,1,0,0,0,0,0,0
"['Renewable Energy', 'Renewable Energy']",2007-06-21,98925,8,3,3,12,10,4,3,0,3,0,0,0
['Sustainable Energy'],2007-08-13,91869,24,3,3,32,10,10,1,1,25,1,0,2
['Nuclear Energy'],2007-08-16,94515,5,1,1,11,16,1,0,0,1,3,0,0
"['Environment and Water Resources: Energy', 'Renewable Energy']",2007-09-11,76510,12,0,1,2,1,5,0,0,0,0,0,0
['Renewable Energy'],2007-09-12,117500,30,8,2,21,3,13,0,0,2,0,0,1
['Energy'],2008-03-19,100088,7,3,5,1,20,0,0,0,0,0,0,0
"['Resources, Energy and Tourism: Staffing', 'Resources, Energy and Tourism: Staffing']",2008-05-13,41122,1,1,0,4,7,1,0,0,0,0,0,0
"['Resources, Energy and Tourism: Tourist Complaints']",2008-05-14,148414,4,12,1,8,12,0,0,0,0,1,0,1
['Renewable Energy: Nichols Poultry'],2008-05-15,101551,12,7,1,10,11,1,1,0,1,0,0,0
"['Renewable Energy', 'Renewable Energy', 'Renewable Energy', 'Renewable Energy', 'Renewable Energy']",2008-06-05,96177,17,20,0,10,3,9,2,0,2,0,0,0
['Renewable Energy'],2008-06-19,88943,10,3,4,12,8,6,6,4,12,3,0,0
['Australian Energy Markets Amendment (Minor Amendments) Legislation'],2008-06-23,110196,10,1,2,8,12,2,0,0,2,0,0,0
"['Nuclear Energy', 'Grey Electorate: Energy Resources']",2008-08-28,92069,12,12,0,1,5,7,0,0,0,1,0,0
['Renewable Energy'],2008-09-01,102235,6,3,1,3,4,4,3,2,2,0,0,0
['Geothermal Energy'],2008-09-16,82900,7,27,0,4,5,6,1,0,0,0,0,0
['Solar Energy'],2008-09-22,109444,13,2,3,11,10,9,0,0,1,1,0,0
['Renewable Energy'],2008-11-12,116142,1,3,1,2,5,0,2,0,0,0,1,1
['Eden-Monaro Electorate: Clean Energy for Eternity'],2008-11-25,146094,3,11,5,3,32,2,0,0,0,0,0,0
['Renewable Energy'],2008-11-27,102587,6,3,0,10,5,1,0,0,1,0,3,0
['Nuclear Energy'],2009-02-04,220824,12,21,2,6,17,6,0,2,1,2,6,2
['Renewable Energy'],2009-02-09,19098,2,0,2,1,0,0,0,0,0,0,0,0
"['Resources, Energy and Tourism: Moncrieff Electorate']",2009-03-10,61009,1,0,2,11,5,0,0,0,0,1,1,0
['Newcastle Electorate: Clean Energy Innovation Centre'],2009-03-18,113886,7,6,0,3,10,8,0,1,0,0,0,0
"['Resources and Energy and Tourism: Program Funding', 'Energy Efficient Homes Package']",2009-05-12,82375,9,1,5,19,3,7,0,0,2,0,0,0
['Environment: Alternative Energy'],2009-05-13,146327,61,7,1,35,23,53,0,0,1,1,6,0
"['Renewable Energy', 'Energy Efficiency', 'Green Energy']",2009-05-25,129118,22,5,1,10,7,17,0,0,2,1,1,0
['Petition: Renewable Energy'],2009-05-27,151111,12,6,5,21,11,4,0,0,0,1,2,0
['Solar Energy'],2009-06-15,131647,18,9,0,30,10,12,0,0,2,0,4,0
"['Renewable Energy', 'Solar Energy', 'Solar Energy']",2009-06-16,100333,11,1,0,34,11,8,0,0,4,0,1,0
"['Renewable Energy', 'Solar Energy']",2009-06-17,144203,28,9,5,52,17,25,1,3,2,0,3,0
"['Renewable Energy', 'Renewable Energy', 'Renewable Energy']",2009-06-18,97520,7,3,3,4,17,8,0,1,0,0,1,0
"['Resources, Energy and Tourism: Annual Leave']",2009-06-22,100370,2,1,5,5,14,0,0,0,1,0,0,0
['Renewable Energy'],2009-06-24,115432,3,3,0,21,7,0,1,0,0,0,0,1
['Energy Efficient Homes Package'],2009-08-11,78587,8,0,11,33,0,6,0,1,0,0,3,1
"['Resources, Energy and Tourism: Intergovernmental Agreements']",2009-08-12,143227,11,0,9,16,5,12,0,3,0,0,0,1
"['Resources and Energy', 'Resources and Energy', 'Renewable Energy', 'Renewable Energy']",2009-08-17,105915,85,2,5,6,7,80,1,4,4,3,10,0
"['Resources and Energy', 'Solar Energy']",2009-08-18,75683,1,4,2,11,3,1,0,0,1,0,0,0
"['Solar Energy', 'Newcastle Electorate: National Energy Efficiency Initiative']",2009-08-19,117132,19,1,2,22,5,16,0,0,0,1,2,0
